# x	|psi(x)|^2
-0.226241	3.25944
-0.226241	3.25944
-0.180812	3.50967
0.5156	1.38115
0.5156	1.38115
0.5156	1.38115
0.323755	2.63011
-0.273035	2.96864
0.0696726	3.92308
0.158272	3.61863
0.440812	1.83865
0.440812	1.83865
-0.182096	3.50314
-0.182096	3.50314
-0.20746	3.36738
-0.20746	3.36738
0.264882	3.02117
0.264882	3.02117
0.264882	3.02117
0.264882	3.02117
0.264882	3.02117
0.344565	2.48779
0.344565	2.48779
0.323613	2.63108
0.323613	2.63108
0.275897	2.95004
0.275897	2.95004
0.275897	2.95004
-0.14063	3.69577
-0.14063	3.69577
-0.14063	3.69577
0.01257	3.99747
0.0606118	3.94165
0.0606118	3.94165
0.0606118	3.94165
0.0606118	3.94165
0.481939	1.5797
-0.558057	1.15095
-0.943716	0.113482
-0.943716	0.113482
-0.391627	2.16584
0.735045	0.460764
0.735045	0.460764
0.0514132	3.95793
1.00162	0.0723179
1.00162	0.0723179
1.00162	0.0723179
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.110661	3.80879
0.0117509	3.99779
-0.110731	3.80855
-0.110731	3.80855
-0.71302	0.52346
-0.71302	0.52346
-0.71302	0.52346
-0.71302	0.52346
-0.526455	1.32006
-0.526455	1.32006
-0.532417	1.28714
0.186501	3.48046
0.0942259	3.86044
0.0942259	3.86044
-0.266305	3.01205
-0.266305	3.01205
-0.266305	3.01205
-0.266305	3.01205
0.329834	2.58864
-0.242795	3.15976
-0.242795	3.15976
-0.242795	3.15976
-0.242795	3.15976
0.0851394	3.88569
-0.42424	1.94717
-0.42424	1.94717
-0.42424	1.94717
0.00950463	3.99855
-0.474712	1.62399
-0.474712	1.62399
-0.474712	1.62399
-0.488443	1.54032
-0.555623	1.16349
0.34563	2.48048
0.34563	2.48048
0.551948	1.18259
0.551948	1.18259
0.657099	0.711187
0.304355	2.76148
0.304355	2.76148
0.304355	2.76148
0.283896	2.89767
0.257392	3.06882
0.257392	3.06882
-0.259048	3.05834
0.159581	3.61261
0.159581	3.61261
0.159581	3.61261
0.159581	3.61261
0.159581	3.61261
0.114299	3.79634
0.114299	3.79634
0.114299	3.79634
0.114299	3.79634
0.114299	3.79634
0.114299	3.79634
-0.250351	3.11302
-0.250351	3.11302
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.0682383	3.92619
-0.668875	0.668124
-0.668875	0.668124
-0.668875	0.668124
-0.668875	0.668124
0.598672	0.953767
0.251935	3.10313
-0.0967678	3.85295
-0.0967678	3.85295
-0.0967678	3.85295
-0.0967678	3.85295
-0.367544	2.33017
-0.367544	2.33017
-0.367544	2.33017
-0.367544	2.33017
-0.367544	2.33017
-0.367544	2.33017
0.241595	3.16712
0.241595	3.16712
0.241595	3.16712
0.241595	3.16712
0.241595	3.16712
-0.24097	3.17094
-0.24097	3.17094
-0.361339	2.3727
0.297445	2.8078
0.297445	2.8078
-0.794141	0.32099
0.33055	2.58375
-0.0654801	3.93198
0.232768	3.22061
0.474569	1.62487
0.0718505	3.91825
0.0718505	3.91825
-0.187685	3.47429
0.133187	3.72601
0.133187	3.72601
-0.304372	2.76136
-0.304372	2.76136
-0.304372	2.76136
0.0600676	3.94268
-0.660946	0.696906
-0.337434	2.53666
0.339804	2.52043
-0.350294	2.44849
-0.350294	2.44849
0.418954	1.98219
0.418954	1.98219
-0.430304	1.90722
-0.430304	1.90722
-0.122691	3.76626
-0.122691	3.76626
-0.122691	3.76626
-0.0288624	3.98669
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
0.0630004	3.937
-0.133493	3.7248
0.590255	0.992716
0.44339	1.82197
0.44339	1.82197
0.44339	1.82197
0.345908	2.47858
0.368162	2.32593
0.368162	2.32593
0.368162	2.32593
-0.199681	3.41032
-0.168635	3.56992
-0.189484	3.46488
-0.189484	3.46488
-0.189484	3.46488
-0.189484	3.46488
-0.189484	3.46488
-0.189484	3.46488
-0.331474	2.57744
0.0214798	3.99262
0.200433	3.40621
-0.048659	3.9623
-0.048659	3.9623
-0.048659	3.9623
-0.705186	0.547249
-0.628516	0.823795
-0.628516	0.823795
-0.628516	0.823795
-0.0598881	3.94302
-0.0598881	3.94302
-0.0598881	3.94302
0.124316	3.76022
0.124316	3.76022
-0.572278	1.07927
-0.377323	2.26326
-0.377323	2.26326
0.0548538	3.95215
0.0548538	3.95215
0.0548538	3.95215
0.0548538	3.95215
-0.608461	0.909734
0.620748	0.856398
0.620748	0.856398
-0.0815688	3.89495
-0.0815688	3.89495
0.505972	1.43658
0.505972	1.43658
-0.542173	1.23428
0.291296	2.84875
-0.228564	3.24569
-0.228564	3.24569
0.0445643	3.96835
0.0445643	3.96835
-0.333996	2.56019
-0.333996	2.56019
-0.333996	2.56019
0.449498	1.78265
-0.141657	3.69148
-0.141657	3.69148
-0.141657	3.69148
-0.136577	3.71241
-0.136577	3.71241
-0.470951	1.64726
0.30039	2.78809
0.30039	2.78809
0.151245	3.65025
0.151245	3.65025
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
0.118362	3.78201
-0.566367	1.10872
-0.445017	1.81146
0.11822	3.78252
0.11822	3.78252
-0.113997	3.79738
-0.113997	3.79738
-0.153501	3.64022
-0.0465197	3.96552
-0.0465197	3.96552
-0.0465197	3.96552
-0.0465197	3.96552
0.461746	1.70482
-0.207582	3.3667
-0.207582	3.3667
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
-0.117286	3.78585
0.659673	0.701609
-0.14521	3.67646
-0.14521	3.67646
0.194489	3.43835
0.194489	3.43835
0.194489	3.43835
0.194489	3.43835
0.194489	3.43835
0.0410034	3.97319
0.0410034	3.97319
0.0410034	3.97319
0.0410034	3.97319
0.0226006	3.99184
0.374181	2.28473
0.0797061	3.89963
0.0797061	3.89963
-0.0475464	3.96399
0.448996	1.78587
0.448996	1.78587
0.448996	1.78587
0.202694	3.39382
0.202694	3.39382
0.246865	3.13467
0.246865	3.13467
0.246865	3.13467
0.388436	2.18751
0.388436	2.18751
0.388436	2.18751
0.230967	3.23139
-0.263749	3.02842
-0.0547606	3.95231
0.00564389	3.99949
0.00564389	3.99949
-0.262019	3.03946
-0.262019	3.03946
0.0300643	3.98556
0.0300643	3.98556
0.0300643	3.98556
0.32084	2.64995
-0.142806	3.68666
-0.148094	3.66404
-0.264442	3.02398
-0.264442	3.02398
-0.264442	3.02398
-0.264442	3.02398
-0.264442	3.02398
-0.15459	3.63534
-0.15459	3.63534
-0.15459	3.63534
-0.15459	3.63534
-0.15459	3.63534
-0.15459	3.63534
0.0248007	3.99017
0.0950869	3.85792
0.0950869	3.85792
-0.24483	3.14724
0.0228471	3.99166
0.340777	2.51375
-0.25419	3.08899
-0.25419	3.08899
-0.25419	3.08899
-0.25419	3.08899
-0.136764	3.71165
-0.136764	3.71165
-0.136764	3.71165
-0.136764	3.71165
0.0809808	3.89644
0.0809808	3.89644
0.0809808	3.89644
0.0809808	3.89644
0.0809808	3.89644
0.173851	3.5445
0.173851	3.5445
-0.538254	1.25536
-0.538254	1.25536
0.00935523	3.9986
0.00935523	3.9986
0.00935523	3.9986
0.00935523	3.9986
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
0.302304	2.77526
-0.0167519	3.99551
-0.0167519	3.99551
0.431658	1.89834
0.674238	0.649148
0.674238	0.649148
-0.144805	3.67819
0.147471	3.66674
0.359298	2.38671
0.353892	2.4238
0.353892	2.4238
0.353892	2.4238
0.282269	2.90836
0.282269	2.90836
0.282269	2.90836
0.282269	2.90836
-0.707942	0.538786
-0.00456843	3.99967
-0.132395	3.72915
-0.132395	3.72915
-0.132395	3.72915
-0.132395	3.72915
-0.799051	0.311102
-0.91663	0.138824
-0.91663	0.138824
-0.948089	0.109789
-0.948089	0.109789
0.0689432	3.92467
0.111913	3.80455
0.111913	3.80455
-0.498914	1.47792
-0.215008	3.32471
-0.215008	3.32471
-0.48166	1.5814
-0.48166	1.5814
0.587708	1.0047
0.587708	1.0047
0.091407	3.86853
0.091407	3.86853
0.142585	3.68759
0.142585	3.68759
0.223453	3.27583
0.223453	3.27583
-0.133012	3.72671
-0.0397925	3.97474
-0.0397925	3.97474
-0.0397925	3.97474
-0.0397925	3.97474
-0.429287	1.9139
0.0078311	3.99902
-0.00395216	3.99975
-0.00395216	3.99975
-0.00395216	3.99975
-0.00395216	3.99975
-0.187467	3.47543
-0.187467	3.47543
-0.187467	3.47543
0.540485	1.24334
0.0524293	3.95626
