T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.50982	 	1.00321	 	0.724445	 	 -0.123483	 	0.0132213
0.504721	 	0.772813	 	0.891061	 	 -0.16993	 	0.0133856
0.499674	 	0.339634	 	0.410577	 	 0.469658	 	0.0101069
0.494677	 	0.94858	 	0.514319	 	 -0.242001	 	0.0044069
0.489731	 	0.49779	 	0.441793	 	 0.0214559	 	0.0062724
0.484833	 	0.229919	 	1.01012	 	 -0.244891	 	0.0100329
0.479985	 	0.659631	 	0.786358	 	 -0.338874	 	0.00518156
0.475185	 	0.958703	 	0.76333	 	 -0.157378	 	0.0139354
0.470433	 	0.257277	 	1.55153	 	 1.56466	 	0.06945
0.465729	 	0.60613	 	0.871771	 	 -0.276823	 	0.00809389
0.461072	 	0.915218	 	0.770522	 	 -0.204091	 	0.010876
0.456461	 	0.091538	 	0.463705	 	 0.882601	 	0.0110193
0.451896	 	0.89185	 	0.492762	 	 -0.222036	 	0.00535312
0.447377	 	0.979321	 	0.466822	 	 -0.0454844	 	0.00733411
0.442904	 	0.605418	 	0.678941	 	 -0.338101	 	0.00323131
0.438475	 	0.814948	 	0.874761	 	 -0.125642	 	0.019385
0.43409	 	0.664507	 	0.79254	 	 -0.325011	 	0.00662139
0.429749	 	0.488174	 	0.778905	 	 -0.262153	 	0.00468236
0.425451	 	0.997175	 	0.488373	 	 -0.121711	 	0.00589575
0.421197	 	0.829574	 	0.619241	 	 -0.442882	 	0.00264681
0.416985	 	0.55117	 	0.56514	 	 -0.221489	 	0.00412665
0.412815	 	0.373636	 	0.774997	 	 -0.187651	 	0.00506574
0.408687	 	0.90291	 	0.561177	 	 -0.371407	 	0.00341497
0.4046	 	0.664623	 	0.682023	 	 -0.376513	 	0.00377604
0.400554	 	0.0824232	 	0.967017	 	 -0.244265	 	0.00588855
0.396549	 	0.606293	 	0.604942	 	 -0.320079	 	0.00350665
0.392583	 	0.0880794	 	0.552922	 	 0.468699	 	0.00982464
0.388657	 	0.813217	 	0.516709	 	 -0.328308	 	0.00564859
0.384771	 	0.586708	 	0.498463	 	 -0.213612	 	0.00478507
0.380923	 	0.549678	 	0.743215	 	 -0.300313	 	0.00407236
0.377114	 	0.40764	 	0.660464	 	 -0.104404	 	0.00486514
0.373343	 	0.419042	 	0.669395	 	 -0.124206	 	0.00488245
0.369609	 	0.0647775	 	0.83088	 	 -0.146389	 	0.00469238
0.365913	 	0.534698	 	0.510499	 	 -0.146761	 	0.004952
0.362254	 	0.587924	 	0.62255	 	 -0.306167	 	0.0032746
0.358631	 	0.498115	 	0.487783	 	 -0.060565	 	0.00612863
0.355045	 	0.142522	 	0.94144	 	 -0.250676	 	0.00542666
0.351495	 	0.783014	 	0.807162	 	 -0.267605	 	0.0104708
0.34798	 	0.758377	 	0.780255	 	 -0.336544	 	0.00659609
0.3445	 	0.127572	 	1.00389	 	 -0.252394	 	0.00661784
0.341055	 	0.90737	 	0.869654	 	 -0.0111625	 	0.0167132
0.337644	 	0.667497	 	0.547999	 	 -0.349811	 	0.00394447
0.334268	 	0.622517	 	1.1466	 	 0.23691	 	0.0321393
0.330925	 	1.12742	 	0.596534	 	 0.0279431	 	0.0102859
0.327616	 	1.04915	 	0.482683	 	 -0.0299147	 	0.00595555
0.32434	 	0.212352	 	1.06797	 	 -0.217685	 	0.00956081
0.321096	 	0.331673	 	1.10425	 	 -0.16758	 	0.0127199
0.317885	 	0.74964	 	0.894054	 	 -0.177832	 	0.012303
0.314707	 	0.142472	 	0.833017	 	 -0.16263	 	0.00492479
0.311559	 	0.572344	 	1.17639	 	 0.217067	 	0.0284834
0.308444	 	1.31583	 	0.576956	 	 0.778993	 	0.019069
0.305359	 	0.227731	 	1.23267	 	 -0.00432093	 	0.0177025
0.302306	 	0.976092	 	0.63201	 	 -0.31228	 	0.0063236
0.299283	 	1.09793	 	0.692478	 	 0.0759232	 	0.0124337
0.29629	 	0.4365	 	0.932301	 	 -0.270292	 	0.00634102
0.293327	 	0.518763	 	0.492644	 	 -0.105104	 	0.00603158
0.290394	 	0.265433	 	0.859519	 	 -0.213638	 	0.0047386
0.28749	 	0.364179	 	0.833756	 	 -0.220026	 	0.00449238
0.284615	 	0.957628	 	0.6585	 	 -0.308499	 	0.0060127
0.281769	 	0.581175	 	0.767453	 	 -0.315995	 	0.0052645
0.278951	 	0.390998	 	1.20174	 	 0.0843567	 	0.0247113
0.276162	 	0.718385	 	0.762745	 	 -0.351446	 	0.00709624
0.2734	 	0.717122	 	0.727054	 	 -0.384822	 	0.0042724
0.270666	 	1.04144	 	0.68084	 	 -0.114134	 	0.0101728
0.267959	 	0.469176	 	0.884906	 	 -0.261183	 	0.00660483
0.26528	 	0.519004	 	0.811495	 	 -0.275593	 	0.00601972
0.262627	 	0.487202	 	0.773163	 	 -0.264798	 	0.00453286
0.260001	 	0.838355	 	0.687459	 	 -0.39437	 	0.00597689
0.257401	 	0.234907	 	0.923541	 	 -0.23152	 	0.00781346
0.254827	 	0.814441	 	0.711586	 	 -0.372843	 	0.00611508
0.252278	 	0.328167	 	0.819179	 	 -0.198582	 	0.00573014
0.249756	 	0.622728	 	0.396271	 	 0.205901	 	0.0128739
0.247258	 	0.701936	 	0.624461	 	 -0.408012	 	0.00311623
0.244785	 	0.713036	 	0.537441	 	 -0.369873	 	0.00462718
0.242338	 	0.239546	 	1.016	 	 -0.235797	 	0.00929931
0.239914	 	0.619662	 	0.555234	 	 -0.30876	 	0.00372976
0.237515	 	0.772185	 	0.603535	 	 -0.43843	 	0.00221472
0.23514	 	1.02684	 	0.547121	 	 -0.203438	 	0.00459681
0.232789	 	0.0704665	 	0.84954	 	 -0.170994	 	0.00598226
0.230461	 	0.362268	 	0.619989	 	 -0.0078327	 	0.0061263
0.228156	 	0.105431	 	1.12803	 	 -0.155551	 	0.0108822
0.225875	 	0.721221	 	1.0371	 	 0.120762	 	0.0261477
0.223616	 	0.488336	 	0.700487	 	 -0.216279	 	0.00466818
0.22138	 	0.294689	 	1.02321	 	 -0.235348	 	0.00987143
0.219166	 	0.678366	 	0.482166	 	 -0.232102	 	0.00824291
0.216974	 	0.867393	 	0.762457	 	 -0.286458	 	0.00817398
0.214804	 	0.301991	 	0.46967	 	 0.430497	 	0.00778826
0.212656	 	0.694104	 	0.59658	 	 -0.400925	 	0.00277473
0.21053	 	0.857341	 	0.62421	 	 -0.435136	 	0.00306669
0.208425	 	0.679534	 	0.666645	 	 -0.387735	 	0.00326303
0.20634	 	0.739926	 	0.525894	 	 -0.357851	 	0.00484259
0.204277	 	0.234573	 	0.924926	 	 -0.236674	 	0.0062795
0.202234	 	0.563033	 	0.774965	 	 -0.301028	 	0.00535699
0.200212	 	0.607624	 	0.582148	 	 -0.312398	 	0.0030401
0.19821	 	0.152508	 	0.940724	 	 -0.248651	 	0.0061932
0.196228	 	0.377968	 	0.948338	 	 -0.257718	 	0.00723557
0.194265	 	0.363441	 	0.97711	 	 -0.254356	 	0.00895173
0.192323	 	0.206125	 	1.1473	 	 -0.134058	 	0.0156251
0.190399	 	0.940776	 	0.488955	 	 -0.1792	 	0.00458644
0.188495	 	0.844229	 	0.679292	 	 -0.397094	 	0.00455429
0.18661	 	0.894324	 	0.602639	 	 -0.411368	 	0.00295342
0.184744	 	0.550928	 	0.777576	 	 -0.300729	 	0.00458166
0.182897	 	0.986869	 	0.770327	 	 -0.0683261	 	0.0156873
0.181068	 	0.641337	 	0.754378	 	 -0.353499	 	0.00467327
0.179257	 	0.718017	 	0.811181	 	 -0.305164	 	0.00944334
0.177465	 	0.068758	 	1.0172	 	 -0.251673	 	0.0078739
0.17569	 	0.879586	 	0.604991	 	 -0.415901	 	0.00378476
0.173933	 	0.584105	 	0.641657	 	 -0.309329	 	0.00396237
0.172194	 	0.187779	 	0.80543	 	 -0.141473	 	0.00577579
0.170472	 	0.20786	 	1.07067	 	 -0.226863	 	0.010952
0.168767	 	0.385634	 	0.934291	 	 -0.246971	 	0.00820354
0.167079	 	0.481655	 	0.735758	 	 -0.240612	 	0.00471253
0.165409	 	0.969641	 	0.656122	 	 -0.306988	 	0.00660593
0.163755	 	0.697384	 	0.849812	 	 -0.296075	 	0.00684988
0.162117	 	0.691949	 	0.491298	 	 -0.250908	 	0.00652774
0.160496	 	0.43515	 	0.823803	 	 -0.260781	 	0.00565605
0.158891	 	0.791044	 	0.700976	 	 -0.40995	 	0.00470537
0.157302	 	0.691516	 	0.773864	 	 -0.341106	 	0.00585312
0.155729	 	0.98598	 	0.713838	 	 -0.181683	 	0.012285
0.154172	 	0.793832	 	0.487931	 	 -0.249829	 	0.00791151
0.15263	 	0.465953	 	0.541749	 	 -0.0551245	 	0.00476931
0.151104	 	0.554082	 	0.534584	 	 -0.202756	 	0.00444821
