# x	|psi(x)|^2
1.42649	0.932622
-1.11879	1.20766
1.32016	1.03595
1.32016	1.03595
-0.047709	1.47152
-1.41073	0.948313
-1.41073	0.948313
0.803131	1.38673
0.803131	1.38673
0.803131	1.38673
0.986653	1.29708
0.519951	1.45488
-0.00410591	1.47152
-1.54338	0.813843
-1.64622	0.708489
-0.0907302	1.4715
-1.36713	0.991093
-1.36713	0.991093
-0.111882	1.47148
-0.644459	1.43387
-0.644459	1.43387
0.330262	1.46868
0.330262	1.46868
1.81928	0.538313
-0.311191	1.46928
-0.311191	1.46928
-0.928776	1.3297
-0.146457	1.47141
-0.120429	1.47147
-0.29261	1.46976
-0.29261	1.46976
-0.129214	1.47145
-0.551036	1.45073
1.4553	0.90369
0.370238	1.46708
0.370238	1.46708
-0.23079	1.47083
0.9528	1.31665
-0.678333	1.42591
0.671037	1.42771
0.671037	1.42771
0.262516	1.47037
-1.87135	0.490456
-0.0971487	1.4715
-0.0971487	1.4715
0.388497	1.46616
-1.33317	1.02366
-1.17094	1.16693
1.17393	1.16452
1.17393	1.16452
-0.783935	1.39383
0.885663	1.35137
0.885663	1.35137
0.885663	1.35137
0.885663	1.35137
0.885663	1.35137
2.6064	0.0765621
2.6064	0.0765621
2.6064	0.0765621
2.6064	0.0765621
0.429383	1.46359
-1.86219	0.498735
0.22741	1.47087
0.22741	1.47087
-0.018181	1.47152
-0.018181	1.47152
-0.018181	1.47152
-0.018181	1.47152
-0.018181	1.47152
1.01306	1.28086
1.01306	1.28086
1.92824	0.440522
0.476722	1.45962
0.476722	1.45962
1.46257	0.896341
0.711273	1.41713
-0.0253381	1.47152
-0.855717	1.36512
-1.84421	0.515157
0.380188	1.46659
0.380188	1.46659
0.380188	1.46659
-0.342668	1.46824
1.33447	1.02244
1.33447	1.02244
0.940745	1.32329
0.940745	1.32329
1.26331	1.08813
0.321639	1.46897
-1.48248	0.876139
-0.291872	1.46978
1.33364	1.02322
-0.703062	1.41942
-0.703062	1.41942
-0.703062	1.41942
-0.703062	1.41942
0.146875	1.4714
2.10075	0.306686
1.60819	0.747318
0.934059	1.32689
-0.917236	1.33572
0.589549	1.44462
-1.14091	1.19074
-1.8589	0.50172
-1.8589	0.50172
-1.7025	0.6517
0.186581	1.47122
-0.922201	1.33315
-0.922201	1.33315
-0.922201	1.33315
-0.922201	1.33315
-0.922201	1.33315
0.969191	1.30735
-0.166427	1.47133
-1.91106	0.455327
-1.91106	0.455327
-1.5619	0.794829
-1.08926	1.2294
-0.920622	1.33397
0.894671	1.34703
-1.32106	1.0351
0.469492	1.4603
0.876861	1.35552
0.208398	1.47106
0.474816	1.4598
0.199608	1.47113
0.199608	1.47113
0.199608	1.47113
0.639348	1.43498
-0.899542	1.34464
-0.899542	1.34464
-0.629998	1.43695
-0.137715	1.47143
-0.0577208	1.47152
-0.52189	1.45464
-0.52189	1.45464
-2.14705	0.275655
0.415345	1.46455
1.12464	1.20324
1.12464	1.20324
-0.155961	1.47137
-0.155961	1.47137
-0.155961	1.47137
-1.11674	1.2092
-1.11674	1.2092
0.698629	1.42062
0.732884	1.41078
-1.06767	1.24467
0.874472	1.35663
0.874472	1.35663
0.358833	1.46759
0.358833	1.46759
-0.485551	1.45874
-0.438122	1.46294
-0.349753	1.46797
-1.53585	0.821574
-1.43163	0.927482
-1.43163	0.927482
-1.79846	0.557963
-1.79846	0.557963
-1.79846	0.557963
0.272017	1.4702
-1.09458	1.22556
