# VELOCITY:     AVE_POFV:        ERROR:
     3.12844  0.00343359  0.00109901
     3.28105  0.00190571 0.000762797
     3.43366  0.00068396 0.000375508
     3.58626 0.000168232 0.000112593
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.148001   0.0931697
     0.22891    0.258296   0.0769073
    0.381517    0.451598   0.0599048
    0.534124    0.590597   0.0400317
    0.686731    0.655564   0.0389631
    0.839338    0.731563   0.0283042
    0.991945    0.705203    0.030578
     1.14455    0.677295   0.0343338
     1.29716    0.585407   0.0397883
     1.44977    0.535399   0.0505323
     1.60237    0.352528   0.0380703
     1.75498    0.272643   0.0349011
     1.90759    0.211638   0.0262201
     2.06019    0.141588   0.0211699
      2.2128   0.0896811   0.0154464
     2.36541   0.0595261   0.0134476
     2.51802   0.0343945  0.00700657
     2.67062   0.0217845  0.00508292
     2.82323   0.0168294  0.00405457
     2.97584  0.00724042  0.00202663
     3.12844  0.00347611  0.00100825
     3.28105   0.0017469 0.000715571
     3.43366 0.000626964 0.000348514
     3.58626 0.000154213 0.000104079
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.136838    0.086669
     0.22891    0.243991   0.0723096
    0.381517    0.428796   0.0594782
    0.534124    0.574787   0.0399525
    0.686731    0.640653    0.038714
    0.839338    0.717858   0.0292571
    0.991945     0.69697    0.029313
     1.14455    0.681214   0.0319155
     1.29716    0.592075   0.0372821
     1.44977    0.550952   0.0489801
     1.60237    0.366328   0.0375598
     1.75498     0.29039   0.0364502
     1.90759    0.223145   0.0266084
     2.06019    0.151178    0.021605
      2.2128   0.0958881   0.0154551
     2.36541   0.0637099   0.0130478
     2.51802    0.039578  0.00816285
     2.67062   0.0257304  0.00603216
     2.82323   0.0177028  0.00383558
     2.97584  0.00753756   0.0018924
     3.12844  0.00411882  0.00111691
     3.28105  0.00236628 0.000889054
     3.43366 0.000830766  0.00037661
     3.58626  0.00014235  9.6747e-05
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.127511   0.0809787
     0.22891    0.232121   0.0681119
    0.381517     0.41484   0.0568435
    0.534124    0.566831   0.0378827
    0.686731    0.624768   0.0390722
    0.839338    0.694842   0.0350713
    0.991945    0.686735    0.028951
     1.14455    0.680391   0.0296465
     1.29716    0.591397   0.0346252
     1.44977    0.571893   0.0497571
     1.60237     0.37838   0.0367596
     1.75498    0.300864   0.0353196
     1.90759    0.237343   0.0282432
     2.06019     0.16177   0.0225086
      2.2128    0.103798   0.0162497
     2.36541   0.0688064   0.0130733
     2.51802   0.0446625  0.00902542
     2.67062   0.0280942  0.00604672
     2.82323   0.0189498  0.00375886
     2.97584  0.00870454  0.00208624
     3.12844  0.00522662  0.00148836
     3.28105  0.00292318 0.000984641
     3.43366    0.001441  0.00068417
     3.58626 0.000400881 0.000264829
     3.73887 3.90046e-05 3.75858e-05
     3.89148 4.98393e-05 4.80263e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.120561   0.0758778
     0.22891    0.225757   0.0638677
    0.381517    0.404596   0.0539692
    0.534124    0.556691   0.0366891
    0.686731    0.614459   0.0378029
    0.839338    0.681477   0.0351876
    0.991945    0.679926   0.0278102
     1.14455    0.670311   0.0293335
     1.29716     0.59981   0.0333233
     1.44977    0.580008   0.0470972
     1.60237    0.388274   0.0356158
     1.75498    0.309708   0.0340541
     1.90759    0.250648   0.0293271
     2.06019    0.167504   0.0217263
      2.2128    0.108982    0.015972
     2.36541   0.0725114   0.0127159
     2.51802   0.0493157  0.00954821
     2.67062    0.030345  0.00604805
     2.82323   0.0201174  0.00368517
     2.97584  0.00979479  0.00221378
     3.12844  0.00612806  0.00163955
     3.28105  0.00363437  0.00114744
     3.43366  0.00176359 0.000710549
     3.58626 0.000374156 0.000248519
     3.73887 3.64043e-05 3.51699e-05
     3.89148 4.65167e-05 4.49394e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.113085   0.0715028
     0.22891    0.217893   0.0603582
    0.381517    0.387299    0.053296
    0.534124    0.542372   0.0370853
    0.686731    0.596091   0.0396523
    0.839338    0.665403   0.0364755
    0.991945    0.680399   0.0260761
     1.14455    0.670483   0.0275007
     1.29716    0.605184    0.031671
     1.44977    0.589949   0.0451906
     1.60237    0.402744   0.0362099
     1.75498    0.322118    0.034112
     1.90759    0.257927    0.028383
     2.06019    0.179644   0.0235166
      2.2128    0.119852   0.0183023
     2.36541   0.0763884   0.0124983
     2.51802   0.0509149  0.00908437
     2.67062   0.0310764  0.00571409
     2.82323   0.0215411   0.0037197
     2.97584   0.0101287  0.00210046
     3.12844  0.00617167  0.00153765
     3.28105  0.00396087  0.00112122
     3.43366  0.00172921 0.000666971
     3.58626 0.000350771 0.000234084
     3.73887 3.41291e-05 3.30453e-05
     3.89148 4.36094e-05 4.22246e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.106738   0.0675778
     0.22891    0.210347   0.0572774
    0.381517     0.37389   0.0518201
    0.534124    0.529544    0.037056
    0.686731    0.582967   0.0394317
    0.839338    0.659682   0.0347756
    0.991945    0.671053   0.0261634
     1.14455    0.672401   0.0259498
     1.29716    0.619256   0.0327852
     1.44977    0.591838   0.0425718
     1.60237    0.413029   0.0355105
     1.75498    0.329445    0.032883
     1.90759    0.260229   0.0268066
     2.06019    0.191017   0.0247311
      2.2128    0.132192   0.0209775
     2.36541   0.0801788   0.0123244
     2.51802   0.0526899  0.00872169
     2.67062    0.031711   0.0054131
     2.82323   0.0217837   0.0035088
     2.97584   0.0105537  0.00201943
     3.12844   0.0062387  0.00144866
     3.28105   0.0038867  0.00105771
     3.43366  0.00170601 0.000628141
     3.58626 0.000330137 0.000221222
     3.73887 3.21215e-05 3.11624e-05
     3.89148 4.10441e-05 3.98186e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.101543   0.0640229
     0.22891    0.202521   0.0546274
    0.381517     0.36375   0.0499235
    0.534124    0.525872   0.0351787
    0.686731    0.578573   0.0374852
    0.839338    0.650392   0.0340619
    0.991945    0.660477   0.0267622
     1.14455    0.675034   0.0246414
     1.29716    0.627449   0.0319713
     1.44977    0.593858   0.0402546
     1.60237    0.422951   0.0348964
     1.75498    0.333541   0.0313102
     1.90759    0.272726   0.0280798
     2.06019    0.198299   0.0244056
      2.2128    0.131411   0.0198266
     2.36541   0.0820648   0.0117832
     2.51802   0.0533677  0.00826345
     2.67062   0.0334903  0.00539687
     2.82323    0.021792  0.00331388
     2.97584   0.0108471  0.00192844
     3.12844  0.00662188  0.00141795
     3.28105  0.00393369 0.000999995
     3.43366  0.00183201 0.000605751
     3.58626 0.000364043 0.000211514
     3.73887 3.03369e-05 2.94822e-05
     3.89148 3.87639e-05 3.76717e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035   0.0964827   0.0608529
     0.22891    0.194552   0.0523303
    0.381517    0.353734   0.0482903
    0.534124    0.523025   0.0334423
    0.686731    0.575834   0.0356122
    0.839338    0.643732   0.0329138
    0.991945    0.655979   0.0257289
     1.14455    0.679152    0.023686
     1.29716    0.629674   0.0303659
     1.44977    0.596503   0.0382227
     1.60237    0.425094   0.0331255
     1.75498    0.337954   0.0299716
     1.90759    0.280917   0.0277709
     2.06019    0.201183   0.0232909
      2.2128    0.133179   0.0188618
     2.36541   0.0829508   0.0111963
     2.51802   0.0573624  0.00874089
     2.67062   0.0366199  0.00595146
     2.82323   0.0237091  0.00365212
     2.97584   0.0117133  0.00201206
     3.12844  0.00699825  0.00139238
     3.28105  0.00402044 0.000951119
     3.43366  0.00194635 0.000584561
     3.58626 0.000400767 0.000203545
     3.73887 2.87403e-05 2.79737e-05
     3.89148 3.67237e-05 3.57442e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035   0.0920423    0.057972
     0.22891     0.18774   0.0501552
    0.381517    0.345005   0.0466579
    0.534124    0.511822   0.0335942
    0.686731    0.573191   0.0339295
    0.839338    0.635718    0.032229
    0.991945    0.656781    0.024455
     1.14455    0.679173   0.0225017
     1.29716    0.630155   0.0288514
     1.44977    0.603716   0.0369859
     1.60237    0.429847   0.0318084
     1.75498    0.340475   0.0285789
     1.90759    0.289164   0.0275798
     2.06019    0.203182    0.022212
      2.2128    0.135585   0.0180714
     2.36541    0.087604    0.011563
     2.51802   0.0618267  0.00937483
     2.67062   0.0399007  0.00649552
     2.82323   0.0243606  0.00352714
     2.97584   0.0123274    0.002003
     3.12844  0.00702907   0.0013231
     3.28105  0.00384369  0.00091984
     3.43366  0.00184904 0.000563375
     3.58626 0.000380729 0.000194352
     3.73887 2.73033e-05 2.66119e-05
     3.89148 3.48875e-05 3.40041e-05
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
