# VELOCITY:     AVE_POFV:        ERROR:
     2.51802    0.356767   0.0293501
     2.67062    0.265669   0.0227959
     2.82323    0.150211       0.013
     2.97584    0.113902   0.0145049
     3.12844     0.13425   0.0180116
     3.28105   0.0864603   0.0133517
     3.43366   0.0735108   0.0123306
     3.58626   0.0696103   0.0073108
     3.73887   0.0313511  0.00783538
     3.89148  0.00973383  0.00321574
     4.04408   0.0092181  0.00252274
     4.19669  0.00778359  0.00461442
      4.3493  0.00262198  0.00166913
     4.50191 0.000290368 0.000176772
   0.0763035  0.00183918 0.000974684
     0.22891   0.0215809  0.00596126
    0.381517   0.0640072   0.0106033
    0.534124    0.124048   0.0101541
    0.686731    0.163596   0.0141725
    0.839338    0.281246    0.026773
    0.991945    0.342652   0.0162699
     1.14455    0.380156   0.0226469
     1.29716    0.456446    0.021827
     1.44977    0.476453    0.034749
     1.60237    0.499885   0.0117791
     1.75498    0.534624   0.0391958
     1.90759    0.541105    0.028551
     2.06019    0.482922   0.0310624
      2.2128    0.507624   0.0312446
     2.36541    0.361275    0.026245
     2.51802    0.348761   0.0267509
     2.67062    0.260902   0.0204389
     2.82323    0.148344   0.0115084
     2.97584    0.116111   0.0128589
     3.12844    0.143107   0.0178052
     3.28105   0.0901576   0.0121839
     3.43366   0.0725205   0.0108289
     3.58626   0.0672456  0.00676857
     3.73887   0.0315353  0.00685813
     3.89148   0.0127415  0.00397904
     4.04408    0.010197  0.00238979
     4.19669  0.00815305  0.00405238
      4.3493   0.0029844  0.00149932
     4.50191  0.00037542 0.000173937
   0.0763035  0.00164831 0.000884877
     0.22891   0.0203022  0.00543433
    0.381517    0.061584  0.00969811
    0.534124    0.118911   0.0102432
    0.686731    0.167275   0.0130665
    0.839338    0.292526   0.0260661
    0.991945     0.35563   0.0189437
     1.14455    0.394138   0.0240625
     1.29716    0.450305   0.0202473
     1.44977    0.474065   0.0309699
     1.60237    0.511026   0.0148312
     1.75498    0.536276   0.0348755
     1.90759    0.525416   0.0293748
     2.06019    0.484936   0.0276762
      2.2128     0.49576    0.029941
     2.36541    0.361144   0.0233292
     2.51802    0.337279   0.0261266
     2.67062    0.250374   0.0207023
     2.82323    0.145058   0.0106885
     2.97584    0.121968   0.0126941
     3.12844    0.139604   0.0161678
     3.28105   0.0866086   0.0113352
     3.43366   0.0710188  0.00972928
     3.58626   0.0719289  0.00746287
     3.73887   0.0341088  0.00656125
     3.89148   0.0191696  0.00701703
     4.04408   0.0133651  0.00366526
     4.19669  0.00788761   0.0036108
      4.3493  0.00296965   0.0013328
     4.50191 0.000333706 0.000159534
   0.0763035  0.00149258 0.000809977
     0.22891   0.0203986  0.00489175
    0.381517   0.0664895  0.00989144
    0.534124    0.117098  0.00937797
    0.686731    0.170688   0.0121975
    0.839338    0.283678    0.024916
    0.991945    0.349403   0.0180439
     1.14455    0.395852   0.0217172
     1.29716    0.450325   0.0182226
     1.44977    0.475292   0.0278972
     1.60237    0.525445   0.0191126
     1.75498    0.533951   0.0314654
     1.90759    0.521962   0.0266395
     2.06019    0.482254   0.0250382
      2.2128    0.487912   0.0279564
     2.36541    0.363907   0.0211592
     2.51802    0.339131   0.0235795
     2.67062    0.256083   0.0194033
     2.82323     0.14876   0.0102409
     2.97584    0.121512   0.0114329
     3.12844    0.139219   0.0145556
     3.28105    0.084361   0.0104222
     3.43366   0.0652912   0.0103053
     3.58626   0.0723445  0.00672814
     3.73887   0.0331006  0.00598208
     3.89148   0.0181294  0.00639196
     4.04408   0.0132481   0.0033006
     4.19669  0.00713222   0.0033278
      4.3493  0.00269695   0.0012271
     4.50191 0.000321572 0.000144041
   0.0763035  0.00135689 0.000747622
     0.22891   0.0209628  0.00447947
    0.381517   0.0682692  0.00915092
    0.534124    0.115325  0.00869143
    0.686731    0.173365   0.0113786
    0.839338    0.287967   0.0230171
    0.991945    0.360784   0.0196678
     1.14455    0.404971   0.0215727
     1.29716    0.451279   0.0165909
     1.44977    0.468924   0.0260778
     1.60237    0.516509   0.0193518
     1.75498    0.528039    0.029155
     1.90759    0.504492   0.0293931
     2.06019    0.491745   0.0244949
      2.2128    0.481696    0.026097
     2.36541    0.379995   0.0246031
     2.51802    0.334743   0.0218402
     2.67062    0.246846   0.0197158
     2.82323     0.15265   0.0100214
     2.97584    0.121806   0.0103974
     3.12844    0.139749    0.013242
     3.28105   0.0851062   0.0095013
     3.43366   0.0630457  0.00960996
     3.58626    0.068487  0.00713715
     3.73887   0.0338478  0.00548471
     3.89148   0.0172452  0.00587171
     4.04408   0.0131166  0.00300317
     4.19669  0.00768904   0.0030715
      4.3493  0.00300336  0.00115317
     4.50191 0.000477117 0.000197843
   0.0763035  0.00124381 0.000693818
     0.22891   0.0198682  0.00423782
    0.381517   0.0656138  0.00876515
    0.534124    0.114638  0.00799419
    0.686731    0.170979   0.0106775
    0.839338    0.281734   0.0219265
    0.991945    0.356237   0.0185469
     1.14455     0.41957   0.0242163
     1.29716    0.458482   0.0166992
     1.44977    0.476045    0.024858
     1.60237    0.514924   0.0178039
     1.75498    0.520165   0.0277685
     1.90759    0.502458   0.0270139
     2.06019    0.483336   0.0238536
      2.2128    0.469914   0.0264482
     2.36541    0.386498   0.0233964
     2.51802    0.341599   0.0210688
     2.67062    0.244063   0.0182682
     2.82323    0.151965  0.00920964
     2.97584      0.1258   0.0102695
     3.12844    0.145691   0.0134056
     3.28105   0.0858384   0.0087377
     3.43366    0.063834  0.00884141
     3.58626   0.0707432  0.00688978
     3.73887   0.0337473  0.00502857
     3.89148    0.016789  0.00540009
     4.04408    0.012107  0.00291768
     4.19669  0.00718986  0.00285582
      4.3493  0.00275308  0.00108389
